"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"33",669674,"Long, Sam","2021-06-20","84","39.3","0.000","0.000","0.000","0.000","0.000","0.079","0.066","0","10","88.3","14.2","2437","74.9","74.32","5","17","16","-0.6","5.80","114","156","118","150","306","323","296"
"33",448179,"Hill, Rich","2021-06-17","86","38.4","0.250","0.375","0.200","0.625","0.361","0.307","0.257","2","8","88.0","32.7","2604","70.7","69.82","2","12","21","-0.9","5.95","101","148","117","146","295","322","289"
"33",593334,"Germán, Domingo","2021-07-25","93","35.5","0.111","0.111","0.200","0.222","0.193","0.199","0.110","1","9","89.2","22.2","2636","82.3","82.33","9","21","12","0.0","5.98","113","161","120","147","281","322","303"
"33",448179,"Hill, Rich","2021-07-31","81","40.7","0.222","0.000","0.286","0.222","0.324","0.278","0.136","2","9","74.8","8.7","2745","71.8","70.77","0","11","22","-1.0","5.94","105","153","111","148","300","324","311"
"33",502179,"Espino, Paolo","2021-09-07","92","35.9","0.273","0.273","0.400","0.545","0.342","0.353","0.283","3","11","81.8","17.2","2907","70.1","69.42","9","23","10","-0.7","6.31","100","152","121","141","306","325","294"
"33",448179,"Hill, Rich","2021-09-08","83","39.8","0.300","0.000","0.375","0.300","0.264","0.349","0.335","3","10","87.4","0.6","2750","71.8","70.53","6","18","15","-1.3","6.04","112","163","111","150","306","317","290"
"33",450203,"Morton, Charlie","2021-07-22","102","32.4","0.100","0.200","0.250","0.300","0.157","0.168","0.143","1","10","96.8","9.5","3036","80.6","80.20","9","18","15","-0.4","6.24","108","154","134","143","288","318","292"
"33",605397,"Musgrove, Joe","2021-08-14","97","34.0","0.200","0.000","0.500","0.200","0.262","0.281","0.204","1","5","80.5","-28.3","2798","81.7","80.70","3","11","22","-1.0","5.95","110","142","107","142","299","326","326"
"33",544931,"Strasburg, Stephen","2021-05-27","87","37.9","0.125","0.000","0.200","0.125","0.178","0.137","0.060","1","8","83.1","24.6","2694","79.0","79.51","6","15","18","0.5","6.89","108","155","113","151","305","324","292"
"33",664285,"Valdez, Framber","2021-06-19","108","30.6","0.231","0.077","0.375","0.308","0.264","0.266","0.237","3","13","85.1","11.5","2967","78.4","74.82","6","16","17","-3.6","5.85","112","156","118","151","294","326","294"
"33",643290,"Dunn, Justin","2021-05-12","72","45.8","0.250","0.125","0.333","0.375","0.312","0.265","0.187","2","8","86.9","35.8","2496","80.5","80.60","4","16","17","0.1","6.42","106","155","113","146","307","324","299"
"33",643290,"Dunn, Justin","2021-04-07","93","35.5","0.000","0.000","0.000","0.000","0.000","0.073","0.079","0","5","83.8","40.5","2588","80.8","80.38","1","8","25","-0.4","6.19","104","156","102","146","290","323","299"
"33",628711,"Urías, Julio","2021-08-30","86","38.4","0.167","0.000","0.200","0.167","0.147","0.074","0.078","1","6","84.2","28.4","2955","80.4","79.11","2","15","18","-1.3","5.49","119","160","118","149","297","311","289"
"33",666200,"Luzardo, Jesús","2021-09-09","97","34.0","0.100","0.300","0.000","0.400","0.245","0.295","0.164","1","10","95.2","13.0","2148","83.6","82.56","10","21","12","-1.0","5.50","113","148","110","149","295","316","284"
"33",628711,"Urías, Julio","2021-08-01","83","39.8","0.143","0.000","0.250","0.143","0.126","0.223","0.238","1","7","72.3","5.8","2917","81.1","79.79","4","19","14","-1.3","5.59","114","154","123","150","304","319","291"
"33",669674,"Long, Sam","2021-08-24","92","35.9","0.167","0.000","0.333","0.167","0.224","0.116","0.019","1","6","78.9","-1.0","2498","74.2","73.35","1","8","25","-0.8","5.78","112","152","113","152","289","327","303"
"32",628711,"Urías, Julio","2021-06-21","87","36.8","0.167","0.500","0.000","0.667","0.385","0.382","0.230","1","6","83.8","-4.7","2797","81.7","80.49","4","15","17","-1.2","5.71","119","155","113","153","294","324","288"
"32",571760,"Heaney, Andrew","2021-04-30","90","35.6","0.000","0.000",,"0.000","0.000","0.000",,"0","3",,,"2569","78.7","77.79","7","10","22","-0.9","5.73","108","158","114","149","301","316","293"
"32",628711,"Urías, Julio","2021-06-15","96","33.3","0.200","0.000","0.333","0.200","0.176","0.229","0.234","2","10","85.3","21.7","2902","82.2","81.24","9","21","11","-1.0","5.57","111","156","117","152","301","314","289"
