"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"28",656756,"Montgomery, Jordan","2021-09-16","99","28.3","0.000","0.000",,"0.000","0.000","0.000",,"0","5",,,"2275","80.8","81.33","8","15","13","0.5","6.64","104","150","120","148","294","314","284"
"28",450203,"Morton, Charlie","2021-07-09","95","29.5","0.000","0.000","0.000","0.000","0.000","0.285","0.236","0","7","88.5","9.2","3042","81.4","80.79","3","13","15","-0.6","6.26","114","153","130","140","306","316","290"
"28",605397,"Musgrove, Joe","2021-06-05","99","28.3","0.200","0.000","0.500","0.200","0.176","0.104","0.115","1","5","86.4","-4.5","2786","83.5","82.60","6","13","15","-0.9","5.95","118","152","150","146","315","323","310"
"28",425794,"Wainwright, Adam","2021-08-06","96","29.2","0.375","0.375","0.600","0.750","0.487","0.282","0.231","3","8","93.8","-2.4","2859","73.5","72.75","5","14","14","-0.8","6.24","112","156","121","149","296","315","298"
"28",571760,"Heaney, Andrew","2021-07-22","102","27.5","0.000","0.000","0.000","0.000","0.000","0.279","0.278","0","6","93.5","8.0","2523","78.4","77.86","2","13","15","-0.5","5.76","112","158","114","147","301","327","291"
"28",425794,"Wainwright, Adam","2021-07-16","88","31.8","0.222","0.333","0.167","0.556","0.358","0.432","0.286","2","9","96.9","32.1","2849","73.1","72.51","1","13","15","-0.6","6.37","119","161","111","150","300","325","294"
"28",669952,"White, Mitch","2021-08-18","91","30.8","0.000","0.000","0.000","0.000","0.000","0.186","0.200","0","5","76.4","-17.3","2167","80.8","80.17","2","9","19","-0.6","6.03","115","166","126","152","290","315","301"
"28",642232,"Yarbrough, Ryan","2021-07-31","84","33.3","0.182","0.273","0.143","0.455","0.262","0.318","0.223","2","11","83.7","28.3","2272","72.1","72.60","6","18","10","0.5","6.89","112","153","124","152","305","328","297"
"28",608331,"Fried, Max","2021-08-27","93","30.1","0.091","0.091","0.167","0.182","0.113","0.084","0.093","1","11","73.5","6.3","2490","73.7","73.39","7","16","12","-0.3","6.19","97","147","126","145","304","313","290"
"28",543243,"Gray, Sonny","2021-05-12","87","32.2","0.500","0.000","0.500","0.500","0.490","0.581","0.581","2","4","82.1","14.5","3001","81.0","80.08","5","14","14","-0.9","6.21","110","149","116","144","298","307","286"
"28",605397,"Musgrove, Joe","2021-04-09","112","25.0","0.000","0.000","0.000","0.000","0.000","0.174","0.185","0","9","90.2","-7.2","2723","82.0","81.27","3","11","17","-0.7","5.91","117","154","167","145","302","327","315"
"27",543135,"Eovaldi, Nathan","2021-09-14","95","28.4","0.125","0.000","0.250","0.125","0.110","0.102","0.067","1","8","74.3","30.3","1906","78.0","78.33","5","12","15","0.3","6.61","108","147","120","149","288","327","301"
"27",657053,"Toussaint, Touki","2021-08-11","97","27.8","0.250","0.000","0.500","0.250","0.320","0.314","0.196","1","4","74.0","-22.5","2316","75.8","76.48","4","10","17","0.7","6.99","112","156","145","138","298","324","298"
"27",621244,"Berríos, José","2021-06-05","99","27.3","0.333","0.500","0.400","0.833","0.468","0.131","0.133","2","6","89.3","-1.0","2399","83.4","82.99","3","9","18","-0.4","6.10","111","157","113","148","312","332","304"
"27",657006,"Steele, Justin","2021-09-24","86","31.4","0.100","0.300","0.000","0.400","0.201","0.246","0.144","1","10","92.7","26.7","2599","79.5","79.54","5","15","12","0.0","6.36","100","150","118","148","309","326","307"
"27",656756,"Montgomery, Jordan","2021-05-05","82","32.9","0.000","0.000","0.000","0.000","0.000","0.110","0.113","0","7","87.1","-3.7","2262","79.8","80.32","6","16","11","0.5","6.38","109","151","119","150","297","330","286"
"27",656756,"Montgomery, Jordan","2021-07-08","105","25.7","0.125","0.000","0.333","0.125","0.175","0.199","0.142","1","8","87.0","-3.3","2215","80.1","80.68","6","14","13","0.6","6.39","116","156","123","149","295","322","287"
"27",446372,"Kluber, Corey","2021-05-08","101","26.7","0.167","0.000","0.200","0.167","0.224","0.307","0.260","1","6","96.6","16.4","2437","82.0","82.14","1","10","17","0.1","6.41","111","158","130","149","300","324","287"
"27",664285,"Valdez, Framber","2021-06-08","96","28.1","0.000","0.000","0.000","0.000","0.096","0.217","0.149","0","13","92.8","-3.0","2939","79.1","78.15","9","18","9","-0.9","5.77","106","152","119","148","281","330","306"
"27",621244,"Berríos, José","2021-09-09","109","24.8","0.167","0.000","0.500","0.167","0.224","0.128","0.035","1","6","68.9","-12.0","2282","83.0","82.95","4","7","20","-0.1","6.36","105","152","122","147","285","316","288"
"27",543475,"Lyles, Jordan","2021-05-22","87","31.0","0.222","0.000","0.250","0.222","0.245","0.260","0.228","2","9","87.8","7.6","2789","80.6","80.61","2","12","15","0.0","6.66","114","156","125","146","300","334","297"
"27",592791,"Taillon, Jameson","2021-05-01","79","34.2","0.250","0.000","0.500","0.250","0.377","0.329","0.162","1","4","97.3","-3.5","2822","80.7","80.75","4","8","19","0.0","6.57","113","162","112","151","295","333","292"
"27",543243,"Gray, Sonny","2021-07-18","99","27.3","0.667","0.000","1.000","0.667","0.612","0.320","0.205","2","3","71.6","-21.0","2699","78.8","78.43","3","8","19","-0.4","6.43","121","149","114","149","286","316","291"
"27",425794,"Wainwright, Adam","2021-05-03","93","29.0","0.000","0.000","0.000","0.000","0.000","0.070","0.067","0","5","88.8","11.0","2846","73.1","72.64","3","12","15","-0.5","6.39","119","156","114","149","289","312","302"
"27",664192,"Lucchesi, Joey","2021-05-03","63","42.9","0.000","0.000","0.000","0.000","0.138","0.229","0.119","0","4","76.2","19.0","1973","77.8","77.98","2","8","19","0.2","6.29","110","153","117","147","313","328","304"
"27",571760,"Heaney, Andrew","2021-04-23","101","26.7","0.200","0.000","0.250","0.200","0.176","0.280","0.296","1","5","74.1","15.5","2595","80.1","79.33","4","13","14","-0.8","5.85","120","169","121","151","297","332","302"
"27",450203,"Morton, Charlie","2021-04-26","89","30.3","0.333","0.500","0.333","0.833","0.534","0.348","0.203","2","6","79.1","-5.8","3058","79.8","79.16","6","10","17","-0.6","6.21","111","151","119","152","298","321","305"
"27",593334,"Germán, Domingo","2021-04-10","79","34.2","0.167","0.000","0.250","0.167","0.224","0.145","0.058","1","6","90.6","13.3","2637","81.5","81.53","6","13","14","0.0","6.30","105","149","114","150","295","323","298"
"27",605540,"Woodruff, Brandon","2021-07-17","104","26.0","0.250","0.250","0.333","0.500","0.310","0.223","0.227","1","4","84.5","6.7","2622","83.7","83.89","3","9","18","0.2","6.32","112","151","114","147","292","326","290"
"27",664192,"Lucchesi, Joey","2021-04-17","55","49.1","0.000","0.000","0.000","0.000","0.000","0.099","0.010","0","5","79.3","29.7","2205","77.7","78.31","10","16","11","0.6","6.42","115","156","118","150","305","342","300"
"27",518516,"Bumgarner, Madison","2021-04-25","98","27.6","0.000","0.000","0.000","0.000","0.000","0.302","0.211","0","8","93.6","5.0","2746","79.2","79.22","6","15","12","0.0","6.38","109","154","121","148","312","330","299"
"27",663556,"McClanahan, Shane","2021-07-27","89","30.3","0.100","0.000","0.200","0.100","0.143","0.190","0.147","1","10","84.9","-9.2","2675","81.7","82.40","6","12","15","0.7","6.93","103","151","111","148","301","327","291"
"27",608328,"De Jong, Chase","2021-07-11","95","28.4","0.111","0.000","0.167","0.111","0.157","0.244","0.185","1","9","86.1","25.3","2543","77.6","76.81","4","12","15","-0.8","5.74","118","153","124","151","295","335","311"
"27",468504,"Chacín, Jhoulys","2021-04-13","62","43.5","0.200","0.000","0.333","0.200","0.262","0.237","0.158","1","5","71.6","-3.7","2364","80.4","79.95","4","9","18","-0.5","5.89","98","138","110","128","300","320","297"
"27",500779,"Quintana, José","2021-04-05","86","31.4","0.333","0.000","0.500","0.333","0.293","0.244","0.228","2","6","80.1","7.3","2390","79.1","79.10","6","10","17","0.0","6.41","110","153","120","148","315","326","301"
"27",666200,"Luzardo, Jesús","2021-08-29","94","28.7","0.000","0.000","0.000","0.000","0.103","0.194","0.085","0","6","102.2","21.0","2152","83.2","81.90","8","11","16","-1.3","5.50","109","150","119","149","300","323","290"
"27",518876,"Kelly, Merrill","2021-05-02","85","31.8","0.286","0.429","0.333","0.714","0.412","0.432","0.306","2","7","97.8","14.8","2638","81.2","80.89","4","16","11","-0.3","6.31","111","157","118","151","307","333","306"
"27",571927,"Matz, Steven","2021-09-18","96","28.1","0.000","0.000","0.000","0.000","0.000","0.157","0.157","0","9","87.3","16.3","2375","77.8","77.65","5","15","12","-0.2","6.37","108","155","121","148","293","323","302"
"27",571927,"Matz, Steven","2021-08-04","92","29.3","0.000","0.000","0.000","0.000","0.000","0.032","0.029","0","4","86.4","4.0","2381","78.0","77.56","3","9","18","-0.4","6.32","103","154","120","146","301","318","292"
"27",642232,"Yarbrough, Ryan","2021-09-24","80","33.8","0.000","0.000","0.000","0.000","0.000","0.028","0.029","0","8","74.4","40.0","2262","71.5","68.80","4","12","15","-2.7","6.50","116","152","118","153","286","319","300"
"27",446372,"Kluber, Corey","2021-09-22","84","32.1","0.250","0.000","0.400","0.250","0.220","0.172","0.174","2","8","89.4","12.6","2516","82.2","82.60","3","11","16","0.4","6.46","110","150","118","148","288","305","285"
"27",621244,"Berríos, José","2021-04-20","89","30.3","0.200","0.200","0.500","0.400","0.322","0.317","0.211","1","5","98.5","25.5","2303","84.3","81.10","3","9","18","-3.2","6.39","103","139","117","142","303","329","292"
"27",448179,"Hill, Rich","2021-09-30","86","31.4","0.500","0.000","0.667","0.500","0.490","0.439","0.386","2","4","89.9","19.7","2757","70.7","69.46","2","13","14","-1.2","6.04","106","151","106","146","295","314","296"
"27",669169,"Heasley, Jonathan","2021-10-01","88","30.7","0.000","0.000","0.000","0.000","0.346","0.396","0.109","0","1","85.7","-17.0","2567","79.2","78.44","0","5","22","-0.8","5.76","109","158","112","148","301","327","310"
"27",593334,"Germán, Domingo","2021-05-04","83","32.5","0.000","0.000","0.000","0.000","0.000","0.138","0.145","0","6","79.8","27.8","2657","82.0","81.66","4","13","14","-0.3","5.94","113","160","116","148","302","332","288"
"27",448179,"Hill, Rich","2021-08-21","71","38.0","0.250","0.000","0.250","0.250","0.220","0.178","0.181","2","8","81.1","19.3","2654","71.4","70.37","2","13","14","-1.0","5.84","114","162","122","151","310","332","301"
"27",458708,"Tomlin, Josh","2021-08-12","67","40.3","0.333","0.167","0.500","0.500","0.353","0.359","0.379","2","6","90.8","21.3","2665","76.4","75.99","8","17","10","-0.4","5.84","113","157","140","149","306","318","291"
"26",608331,"Fried, Max","2021-08-14","86","30.2","0.333","0.000","0.500","0.333","0.293","0.177","0.185","2","6","63.8","-21.3","2508","73.8","73.50","1","6","20","-0.3","6.18","104","152","123","149","299","323","289"
"26",608331,"Fried, Max","2021-08-03","98","26.5","0.250","0.000","0.400","0.250","0.220","0.256","0.250","2","8","88.0","12.2","2721","74.5","73.77","3","14","12","-0.7","6.17","104","153","117","146","304","324","300"
"26",608331,"Fried, Max","2021-07-10","92","28.3","0.250","0.250","0.500","0.500","0.310","0.356","0.375","1","4","93.4","12.0","2815","75.1","74.36","3","8","18","-0.7","6.24","106","153","117","148","322","320","289"
"26",592314,"Foltynewicz, Mike","2021-08-01","93","28.0","0.333","0.000","0.500","0.333","0.452","0.382","0.188","1","3","70.7","22.0","2270","76.4","76.07","1","4","22","-0.3","5.98","116","152","125","148","294","328","298"
"26",660761,"Suarez, José","2021-07-27","88","29.5","0.167","0.000","0.250","0.167","0.147","0.235","0.251","1","6","81.9","-4.3","2779","78.3","78.09","5","13","13","-0.2","6.19","101","152","117","149","302","325","296"
"26",663460,"Bubic, Kris","2021-08-21","92","28.3","0.000","0.000","0.000","0.000","0.000","0.023","0.026","0","6","83.0","14.5","2607","78.8","78.85","3","10","16","0.1","6.52","110","161","116","145","296","319","300"
"26",605397,"Musgrove, Joe","2021-09-15","98","26.5","0.200","0.400","0.250","0.600","0.314","0.180","0.169","1","5","90.9","3.8","2894","82.2","81.44","1","11","15","-0.8","5.98","110","151","156","133","291","313","307"
"26",621244,"Berríos, José","2021-08-18","88","29.5","0.000","0.000","0.000","0.000","0.000","0.093","0.103","0","4","97.9","21.5","2321","82.2","82.51","4","6","20","0.3","6.42","102","152","113","148","302","305","293"
"26",621244,"Berríos, José","2021-08-12","93","28.0","0.400","0.200","0.500","0.600","0.469","0.224","0.140","2","5","79.9","35.0","2311","82.1","81.78","2","13","13","-0.3","6.36","106","150","117","147","304","311","296"
"26",450203,"Morton, Charlie","2021-07-27","89","29.2","0.200","0.000","0.333","0.200","0.223","0.151","0.095","2","10","81.2","7.2","3128","81.4","80.71","5","16","10","-0.7","6.27","114","154","129","147","295","337","305"
"26",592717,"Sanchez, Aaron","2021-04-17","82","31.7","0.250","0.000","0.500","0.250","0.320","0.323","0.233","1","4","86.2","-2.5","2584","73.6","73.61","4","7","19","0.0","6.67","113","155","116","151","301","313","287"
"26",621244,"Berríos, José","2021-07-24","101","25.7","0.143","0.143","0.250","0.286","0.177","0.218","0.229","1","7","88.4","10.3","2289","82.3","82.27","4","12","14","0.0","6.25","108","154","113","150","300","317","287"
"26",656756,"Montgomery, Jordan","2021-07-27","102","25.5","0.429","0.000","0.750","0.429","0.377","0.211","0.221","3","7","78.6","-8.3","2291","80.4","77.48","8","17","9","-2.9","6.63","106","161","121","149","291","328","290"
"26",656756,"Montgomery, Jordan","2021-07-16","92","28.3","0.000","0.000","0.000","0.000","0.115","0.234","0.156","0","5","101.4","-3.5","2263","80.4","80.86","9","17","9","0.5","6.48","112","163","125","149","306","331","289"
"26",656756,"Montgomery, Jordan","2021-05-21","90","28.9","0.125","0.125","0.500","0.250","0.155","0.149","0.097","1","8","85.8","-2.0","2261","80.3","80.65","8","14","12","0.4","6.58","110","154","120","148","303","326","281"
"26",656756,"Montgomery, Jordan","2021-04-23","89","29.2","0.000","0.000","0.000","0.000","0.000","0.015","0.012","0","5","78.3","-14.0","2245","79.1","79.60","5","9","17","0.5","6.48","103","151","113","145","293","326","288"
"26",518516,"Bumgarner, Madison","2021-04-12","98","26.5","0.167","0.500","0.000","0.667","0.390","0.322","0.139","1","6","87.8","48.0","2621","78.4","78.27","5","11","15","-0.1","6.45","104","153","121","147","307","336","300"
"26",669160,"May, Dustin","2021-04-19","92","28.3","0.000","0.000","0.000","0.000","0.000","0.015","0.016","0","10","62.1","-13.0","3128","87.0","87.12","8","12","14","0.1","6.62","114","160","126","150","293","312","280"
"26",544931,"Strasburg, Stephen","2021-04-07","85","30.6","0.000","0.000","0.000","0.000","0.000","0.137","0.080","0","3","94.5","35.5","2747","80.5","81.45","2","6","20","1.0","7.03","115","154","118","149","301","306","287"
"26",458708,"Tomlin, Josh","2021-05-07","82","31.7","0.167","0.000","0.333","0.167","0.147","0.175","0.192","1","6","102.3","-4.7","2681","76.6","76.06","6","17","9","-0.5","5.73","104","149","116","149","303","329","297"
"26",543475,"Lyles, Jordan","2021-05-01","84","31.0","0.333","0.167","0.500","0.500","0.402","0.268","0.211","2","6","89.6","-10.3","2731","80.0","79.94","5","11","15","-0.1","6.52","111","154","123","149","314","316","301"
"26",666200,"Luzardo, Jesús","2021-08-24","93","28.0","0.600","0.800","0.500","1.400","0.825","0.269","0.215","3","5","85.1","3.2","2195","81.8","80.20","2","13","13","-1.6","5.53","108","145","113","144","307","313","274"
"26",664192,"Lucchesi, Joey","2021-05-22","43","60.5","0.111","0.000","0.333","0.111","0.098","0.114","0.120","1","9","85.1","-1.0","2096","79.6","79.78","8","15","11","0.2","6.29","119","153","113","152","295","322","299"
"26",675912,"Lowther, Zac","2021-09-06","92","28.3","0.000","0.000","0.000","0.000","0.000","0.143","0.130","0","4","83.9","20.5","2603","75.1","75.05","2","8","18","0.0","6.82","108","154","120","150","299","314","287"
"26",641778,"Lauer, Eric","2021-10-01","87","29.9","0.375","0.000","0.500","0.375","0.330","0.309","0.301","3","8","91.4","13.3","2454","78.5","78.30","4","12","14","-0.2","5.92","102","154","124","145","301","318","302"
"26",446372,"Kluber, Corey","2021-05-14","85","30.6","0.200","0.200","0.500","0.400","0.322","0.269","0.196","1","5","74.7","2.5","2517","83.1","82.93","7","11","15","-0.2","6.40","111","149","112","147","299","326","293"
"26",628711,"Urías, Julio","2021-08-24","74","35.1","0.000","0.000","0.000","0.000","0.000","0.307","0.205","0","6","85.4","28.2","2869","82.0","80.78","2","9","17","-1.2","5.56","112","158","117","151","300","314","293"
"26",448179,"Hill, Rich","2021-07-18","83","31.3","0.222","0.111","0.250","0.333","0.281","0.247","0.152","2","9","85.3","9.9","2538","70.0","69.32","0","12","14","-0.7","6.03","98","147","122","145","315","329","296"
"26",448179,"Hill, Rich","2021-06-12","70","37.1","0.125","0.000","0.250","0.125","0.175","0.237","0.139","1","8","92.7","16.3","2654","71.3","70.17","3","10","16","-1.1","6.22","100","152","115","149","302","325","285"
"26",448179,"Hill, Rich","2021-04-26","93","28.0","0.000","0.000","0.000","0.000","0.080","0.096","0.018","0","8","82.5","-17.0","2852","73.4","72.37","6","13","13","-1.0","6.38","105","158","119","146","311","327","290"
"26",661269,"Gutierrez, Vladimir","2021-06-19","102","25.5","0.333","0.000","0.333","0.333","0.492","0.470","0.256","1","3","87.1","10.0","2544","77.7","77.48","3","6","20","-0.2","6.45","122","155","116","151","288","324","308"
"26",661269,"Gutierrez, Vladimir","2021-06-09","102","25.5","0.125","0.000","0.250","0.125","0.175","0.246","0.199","1","8","93.0","15.3","2543","76.7","76.65","4","11","15","0.0","6.41","111","155","118","149","278","313","298"
"26",425794,"Wainwright, Adam","2021-08-17","97","26.8","0.714","0.429","0.714","1.143","0.776","0.403","0.379","5","7","81.2","14.3","2915","73.7","73.13","0","12","14","-0.6","6.30","125","155","115","145","293","316","299"
"26",608328,"De Jong, Chase","2021-06-11","90","28.9","0.250","0.250","0.250","0.500","0.310","0.183","0.146","1","4","89.8","14.0","2634","78.0","77.02","1","11","15","-1.0","5.57","118","162","130","151","291","321","297"
"26",667498,"Dugger, Robert","2021-06-27","52","50.0","0.333","0.000","0.333","0.333","0.293","0.298","0.314","1","3","81.5","10.0","2201","74.8","74.48","4","14","12","-0.3","5.87","107","155","107","148","280","316","302"
"26",643290,"Dunn, Justin","2021-05-29","98","26.5","0.250","0.000","0.250","0.250","0.176","0.221","0.286","1","4","77.1","12.3","2525","81.2","81.68","2","8","18","0.5","6.57","120","154","118","149","292","316","293"
"26",622088,"Antone, Tejay","2021-04-26","53","49.1","0.000","0.000","0.000","0.000","0.000","0.069","0.071","0","6","68.8","-6.7","3093","78.6","78.01","6","14","12","-0.6","6.30","102","167","123","148","302","320","299"
"26",543135,"Eovaldi, Nathan","2021-07-31","105","24.8","0.400","0.000","0.500","0.400","0.352","0.534","0.498","2","5","97.6","16.8","1994","78.2","78.74","4","13","13","0.5","6.91","112","156","122","153","296","340","314"
"26",593334,"Germán, Domingo","2021-07-20","70","37.1","0.143","0.143","0.200","0.286","0.292","0.332","0.229","1","7","91.9","29.0","2597","81.0","80.63","2","12","14","-0.4","5.99","106","156","114","146","299","325","285"
"26",593334,"Germán, Domingo","2021-06-25","72","36.1","0.000","0.000","0.000","0.000","0.000","0.287","0.301","0","4","77.4","-3.7","2547","80.4","80.06","4","13","13","-0.3","5.92","111","148","124","149","284","319","304"
"26",593334,"Germán, Domingo","2021-05-09","80","32.5","0.200","0.000","0.333","0.200","0.176","0.120","0.108","1","5","88.1","37.0","2612","80.2","79.83","3","10","16","-0.4","5.96","113","154","123","148","303","331","288"
"26",608331,"Fried, Max","2021-09-07","96","27.1","0.167","0.000","0.250","0.167","0.147","0.277","0.288","1","6","72.3","-12.3","2518","72.9","72.70","2","7","19","-0.2","6.24","97","149","112","146","309","318","290"
"25",518876,"Kelly, Merrill","2021-04-08","90","27.8","0.167","0.000","0.200","0.167","0.147","0.289","0.299","1","6","92.7","-6.0","2560","79.5","79.98","4","12","13","0.5","6.18","110","158","110","148","308","344","310"
"25",669203,"Burnes, Corbin","2021-08-06","105","23.8","0.167","0.000","0.250","0.167","0.147","0.161","0.172","1","6","80.0","20.5","2871","80.2","80.29","5","9","16","0.1","6.32","115","152","123","151","297","312","294"
"25",628711,"Urías, Julio","2021-05-23","89","28.1","0.000","0.000",,"0.000","0.000","0.000",,"0","5",,,"2896","81.0","79.98","4","7","18","-1.0","5.58","114","159","124","153","300","325","303"
"25",448179,"Hill, Rich","2021-09-19","86","29.1","0.667","0.167","0.800","0.833","0.554","0.453","0.416","4","6","87.8","3.6","2729","71.7","70.45","3","15","10","-1.3","6.02","99","152","111","148","303","319","293"
"25",543475,"Lyles, Jordan","2021-06-22","78","32.1","0.143","0.000","0.167","0.143","0.126","0.407","0.291","1","7","87.6","10.3","2454","78.4","78.52","2","13","12","0.1","6.56","114","156","128","149","303","340","297"
"25",608331,"Fried, Max","2021-07-05","91","27.5","0.000","0.000","0.000","0.000","0.000","0.123","0.137","0","3","90.9","-8.5","2706","74.8","74.49","3","10","15","-0.3","6.08","103","154","116","144","313","319","279"
"25",448179,"Hill, Rich","2021-08-10","74","33.8","0.000","0.000","0.000","0.000","0.231","0.357","0.209","0","4","83.3","15.0","2746","71.5","70.38","3","8","17","-1.1","6.03","100","146","109","144","297","327","300"
"25",660761,"Suarez, José","2021-08-16","82","30.5","0.333","0.000","0.667","0.333","0.350","0.264","0.185","2","6","103.2","2.7","2790","78.9","78.86","3","6","19","0.0","6.21","118","157","114","146","303","331","289"
"25",680686,"Gray, Josiah","2021-07-25","79","31.6","0.250","0.000","0.500","0.250","0.220","0.254","0.274","1","4","61.6","-1.0","2422","84.0","83.19","7","10","15","-0.8","5.44","108","152","113","148","305","319","292"
"25",607644,"Means, John","2021-09-09","89","28.1","0.000","0.000","0.000","0.000","0.077","0.172","0.113","0","8","86.7","-7.5","2306","78.9","78.26","4","13","12","-0.6","5.98","103","153","117","148","294","327","286"
"25",666120,"Anderson, Ian","2021-04-21","97","25.8","0.000","0.000","0.000","0.000","0.138","0.405","0.323","0","4","89.8","2.0","1921","80.4","80.96","0","6","19","0.6","6.66","105","154","126","151","301","323","286"
"25",650644,"Civale, Aaron","2021-09-28","90","27.8","0.000","0.000","0.000","0.000","0.000","0.085","0.092","0","4","88.0","27.3","2833","76.7","75.68","6","12","13","-1.0","5.59","112","150","108","149","304","322","302"
"25",528748,"Castellanos, Humberto","2021-09-11","89","28.1","0.000","0.000","0.000","0.000","0.000","0.075","0.078","0","7","81.7","17.6","2397","75.8","75.02","2","9","16","-0.8","5.88","117","157","115","149","284","324","290"
"25",669674,"Long, Sam","2021-06-27","91","27.5","0.667","0.000","0.667","0.667","0.612","0.705","0.737","2","3","94.1","10.7","2442","74.4","73.77","2","8","17","-0.6","5.75","108","158","113","151","294","315","295"
"25",650644,"Civale, Aaron","2021-06-11","101","24.8","0.000","0.000","0.000","0.000","0.000","0.187","0.190","0","9","77.6","-2.5","2877","77.0","76.25","6","15","10","-0.8","5.81","127","161","112","156","283","318","299"
"25",642232,"Yarbrough, Ryan","2021-04-13","93","26.9","0.125","0.000","0.200","0.125","0.110","0.141","0.150","1","8","75.3","30.0","2339","70.2","70.12","4","12","13","-0.1","6.58","107","177","130","145","293","310","295"
"25",669674,"Long, Sam","2021-07-03","84","29.8","0.167","0.000","0.500","0.167","0.147","0.105","0.110","1","6","89.5","-8.0","2476","76.0","75.10","3","6","19","-0.9","5.85","115","156","118","151","299","323","302"
"25",518516,"Bumgarner, Madison","2021-08-03","99","25.3","0.000","0.000","0.000","0.000","0.000","0.117","0.114","0","6","81.9","25.0","2261","76.5","76.26","6","14","11","-0.2","6.39","106","157","123","149","294","317","289"
"25",664285,"Valdez, Framber","2021-07-30","89","28.1","0.125","0.125","0.200","0.250","0.155","0.208","0.196","1","8","93.3","18.6","2794","78.0","77.01","2","10","15","-1.0","5.92","111","152","111","148","296","316","287"
"25",593334,"Germán, Domingo","2021-05-20","87","28.7","0.000","0.000","0.000","0.000","0.000","0.277","0.249","0","3","94.7","32.7","2556","81.0","80.60","3","9","16","-0.4","5.93","110","162","119","142","302","332","297"
"25",666200,"Luzardo, Jesús","2021-04-02","92","27.2","0.000","0.000",,"0.000","0.000","0.000",,"0","3",,,"2492","84.1","83.09","8","12","13","-1.0","5.72","112","151","132","164","304","320","285"
"25",446372,"Kluber, Corey","2021-09-05","78","32.1","0.000","0.000","0.000","0.000","0.173","0.176","0.000","0","2","81.6","39.0","2473","81.6","81.65","6","11","14","0.1","6.39","102","148","114","143","304","331","283"
"25",642547,"Peralta, Freddy","2021-09-20","96","26.0","0.167","0.000","0.200","0.167","0.224","0.162","0.076","1","6","73.2","9.2","2234","76.3","77.46","2","10","15","1.2","7.16","115","156","119","146","301","322","295"
"25",660761,"Suarez, José","2021-09-11","102","24.5","0.000","0.000","0.000","0.000","0.000","0.070","0.078","0","5","77.4","5.0","2729","78.2","77.74","3","11","14","-0.5","6.01","114","158","113","148","295","328","291"
"25",621244,"Berríos, José","2021-09-24","90","27.8","0.333","0.500","0.500","0.833","0.481","0.399","0.277","2","6","91.1","30.7","2317","81.9","81.70","4","9","16","-0.2","6.30","108","151","141","137","304","320","296"
"25",628711,"Urías, Julio","2021-09-15","76","32.9","0.000","0.000","0.000","0.000","0.115","0.156","0.034","0","5","81.6","23.0","2816","79.2","77.98","2","8","17","-1.2","5.53","103","148","104","148","298","304","283"
"25",448179,"Hill, Rich","2021-04-03","71","35.2","0.200","0.000","0.200","0.200","0.262","0.414","0.384","1","5","90.4","12.2","2830","73.6","72.47","1","14","11","-1.1","6.05","98","147","109","142","310","316","289"
"24",425844,"Greinke, Zack","2021-04-23","107","22.4","0.125","0.000","0.143","0.125","0.110","0.181","0.183","1","8","73.5","28.0","2379","71.0","70.08","5","14","10","-0.9","5.76","113","154","113","151","280","324","285"
"24",502179,"Espino, Paolo","2021-07-30","76","31.6","0.000","0.000","0.000","0.000","0.000","0.095","0.102","0","8","80.4","-1.5","2997","71.2","70.68","5","11","13","-0.5","6.38","110","164","122","149","300","319","287"
"24",592717,"Sanchez, Aaron","2021-04-12","66","36.4","0.000","0.000","0.000","0.000","0.000","0.216","0.214","0","8","79.3","-10.5","2567","75.6","75.99","8","16","8","0.4","6.73","105","159","116","150","295","322","296"
"24",669203,"Burnes, Corbin","2021-07-07","87","27.6","0.167","0.000","0.250","0.167","0.147","0.238","0.178","1","6","83.4","-1.8","2840","80.1","80.23","3","9","15","0.1","6.28","111","152","115","146","293","329","297"
"24",605397,"Musgrove, Joe","2021-06-23","101","23.8","0.000","0.000","0.000","0.000","0.000","0.046","0.049","0","4","88.6","4.7","2747","82.0","80.86","2","7","17","-1.1","5.88","116","154","160","141","296","323","320"
"24",607200,"Fedde, Erick","2021-08-17","94","25.5","0.143","0.000","0.200","0.143","0.126","0.175","0.175","1","7","84.1","39.6","2329","79.7","79.99","4","13","11","0.3","6.53","111","153","116","142","308","326","296"
"24",518876,"Kelly, Merrill","2021-05-20","94","25.5","0.273","0.000","0.500","0.273","0.240","0.166","0.169","3","11","87.8","3.0","2575","82.3","82.22","7","14","10","-0.1","6.24","118","160","127","153","301","318","307"
"24",592717,"Sanchez, Aaron","2021-05-04","83","28.9","0.429","0.000","0.500","0.429","0.377","0.333","0.364","3","7","82.7","23.0","2489","73.8","74.43","2","12","12","0.6","6.63","105","148","121","146","304","322","296"
"24",656756,"Montgomery, Jordan","2021-07-22","83","28.9","0.111","0.000","0.250","0.111","0.157","0.203","0.154","1","9","89.3","28.8","2246","79.9","80.28","6","13","11","0.4","6.45","107","160","122","148","283","327","301"
